"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Scott Bradlee's Postmodern Jukebox";2023-12-10;212187;"Oops!... I Did It Again";50;"2015-07-30";"4kZggLkaCdeboIu94dn8KB"
"Paté de Fuá";2023-12-10;303532;"Llévame en un Beso";57;"2016-04-01";"1wWEK9zctGZ9o6YBq3ysJW"
"Screamin' Jay Hawkins";2023-12-10;144866;"I Put a Spell On You";62;"1958";"2lKtE0pl4RtMD2bUwKzdcz"
"The Orange Bird Blues Band";2023-12-10;114197;"Let's Roll";31;"2018-11-16";"4b9fHw4hd1IjmdCwBqlqnZ"
"Supergrass";2023-12-10;180880;"Alright";74;"1995-07-06";"4XeQWsW3K9qjfv5FP9Jtcv"
"Quincy Jones";2023-12-10;164186;"Soul Bossa Nova";36;"2020-03-20";"1loS32IBg96OZjGZlaI1QS"
"Rozalén";2023-12-10;227000;"Saltan Chispas";42;"2013-03-12";"1t2OluRtbro9nSJsizuquA"
"Imelda May";2023-12-10;163800;"Big Bad Handsome Man";37;"2009-01-01";"51GGqqfsw6R9cAfbz3uxvT"
"valverdina";2023-12-10;190641;"suena mejor cntgo";29;"2020-12-17";"5f5FQdhwQh7Zheh5NcO0VI"
"La Plazuela";2023-12-10;243188;"Mi Tarara";46;"2022-04-08";"72tKGF4cTViQbchK9E6NT9"
"Robbie Williams";2023-12-10;211184;"I Wan'na Be Like You";56;"2013-11-18";"4yY8NL5zw83iBAvqVuUAL4"
"Tonino Carotone";2023-12-10;195400;"Primaverando";28;"2008-11-14";"0DksajLRqk9NOENOsJ2nH2"
"Calle 13";2023-12-10;288746;"El Aguante";60;"2014-02-28";"1gDqOyL8NmU2LQPtFutRng"
"Las Bistecs";2023-12-10;185964;"HDA (Historia del Arte)";35;"2016-09-01";"1DZl8V44ue9Z5mDqgvJTB2"
"Ainda";2023-12-10;206106;"Ménilmontant";44;"2013-09-07";"4r0LbUWqLQIfzBrttfixON"
"Ruth Brown";2023-12-10;173733;"I Don't Know";51;"2003-02-25";"5hUfSBla2buX5rW8aCeAl7"
"Luke Winslow-King";2023-12-10;183746;"Moving On (Towards Better Days)";34;"2013-04-23";"0TrgWx7acSKv02ppwQ29to"
"El Coleta";2023-12-10;198182;"M.O.Vida Madrileña";32;"2015-08-02";"6TAqJv7NGQtw0xoZbIJHYP"
"Sweet Barrio";2023-12-10;142984;"Trouble Woman";35;"2019-01-25";"28eYgoTXKSwG3QlEZIiFeu"
"La Pegatina";2023-12-10;183746;"Ahora o nunca (con Macaco)";28;"2018-04-06";"1gVTdZJaemKysGPHgMQfvD"
"Cómo vivir en el campo";2023-12-10;126000;"Refugio del Martes";30;"2020-06-19";"3oOjPT68OLmtHStlwijDaB"
"Pol Granch";2023-12-10;165679;"No Pegamos";50;"2022-10-28";"14WhMR0dMyEdhoNVXnvG7w"
"Mondra";2023-12-10;289600;"RUANDO";29;"2023-09-20";"6VHXj6BTV96K1kFWsi9i9n"
"Will Grove-White";2023-12-10;176666;"I Can't Stop Crying (As Featured In ""Star Trek: Picard"") (Original TV Series Soundtrack)";18;"2023-04-20";"3etGkroa3CUw20Q604foLQ"
"Joan Manuel Serrat";2023-12-10;196826;"Cantares";59;"1969";"3EF2QL5cEctLrXwNqTIBZX"
"Pedrito Martinez";2023-12-10;237986;"Loco Amor";34;"2019-12-13";"76LLVkbVtrRyL46RXxgo0i"
"Édith Piaf";2023-12-10;186973;"La vie en rose";63;"1986";"7l3ydaHRFTcEGM0D9rlfqS"
"David Van Bylen";2023-12-10;228867;"No puedo vivir sin ti";32;"2020-09-09";"47mF8Dfow2zHFrcCeNmSNz"
"Amaia";2023-12-10;192000;"Yo Invito";47;"2022-05-12";"28Et1GjQGMGNY9oQNDVkGF"
"JEDET";2023-12-10;204799;"TU AMOR COMO UN BISTURI";31;"2022-10-14";"6jsJfEC3eMdxYiRmeHD2N5"
