"name";"date";"duration_ms";"song";"popularity";"release_date";"id"
"Sandra Bernardo";2023-09-10;247548;"Fruta";39;"2018-02-23";"08VEqnPNpixzPjmOWbz9sw"
"IZARO";2023-09-10;208600;"La Felicidad";44;"2018-01-19";"7AJGzyNV2zUSDBmwG8ENPl"
"La Yegros";2023-09-10;275013;"Trocitos de Madera";43;"2013-05-13";"5pAJASef6SxMTZlm1eWHxH"
"Gabin";2023-09-10;441106;"Doo uap, doo uap, doo uap";14;"2002";"3eEsydIJFJpJLIuM2xOIWG"
"Mujeres";2023-09-10;180640;"Tú y Yo";38;"2020-05-29";"5vNxGGapLwoRVK8cag4At2"
"Gregor Salto";2023-09-10;508426;"La Diosa Misteriosa - Original mix";33;"2004-05-03";"7mLz6VhIRzK6yCAFf5Dzk4"
"Ataque Escampe";2023-09-10;274660;"Festa malandrómica";28;"2011-04-06";"6kzGzEvN1TD1Wccapl3COX"
"Axel Krygier";2023-09-10;244533;"Cucaracha";8;"2010-01-01";"3a2tLxKLec8Hny6V7Vobql"
"Jovanotti";2023-09-10;277760;"La Cumbia Di Chi Cambia (Internacional)";36;"2012-01-01";"1YQm16M8iJzJ5npHuIupru"
"Ali";2023-09-10;161733;"Folie vie";38;"2022-07-07";"3HQCsCfvUoIXjvVJrkRsGS"
"New York Ska-Jazz Ensemble";2023-09-10;256000;"Boogie Stop Shuffle";37;"2009-01-13";"7CTa40f16I1EjYJUa724iE"
"Xoel López";2023-09-10;296748;"Fort Da";45;"2023-06-16";"07mLhBI4xhAlD7mGH7avqc"
"The Divine Comedy";2023-09-10;181026;"Tonight We Fly";39;"1994-03-28";"4MY1E61exkrdDyr28tMPcZ"
"Guaraná";2023-09-10;239600;"Noche en vela";44;"2010-07-05";"1Q5Q2TxIfynyu9cf541c8f"
"Trüby Trio";2023-09-10;386853;"Jaleo";39;"2003-06-03";"25v6MAAGTHzuGZLHV25UKv"
"The Limiñanas";2023-09-10;173312;"Je ne suis pas tres drogue";29;"2010-10-19";"5HsAeIekdjhpG0fPr4a2fe"
"United Flavour";2023-09-10;252093;"Lorenzo y Catalina";35;"2007-06-20";"0X4yckAfY2HO8AAxOBeKdq"
"Aspencat";2023-09-10;191818;"Som Moviment";39;"2015-09-09";"6BD9dd7oMfMwxCeh0tChd0"
"The Bahama Soul Club";2023-09-10;213722;"Malago";40;"2013-10-08";"6uB8zCT568kxfL6dUYotTj"
"La Otra";2023-09-10;200416;"Contigo";50;"2015-05-14";"32MUPpQPG9ZkTXRRHXehUr"
"Machito";2023-09-10;194200;"Ay José";34;"2009-03-19";"3GOBlGfrkA9AmjdsBcRX3G"
"Acid Coco";2023-09-10;317375;"Yo Bailo Sola";38;"2020-10-02";"5cBEcSpfpxeFyPZTqNg5X6"
"Mista Savona";2023-09-10;338226;"El Cuarto De Tula (feat. Maikel Ante, El Medico & Turbulence)";22;"2017-11-03";"0icwh2eJpzUu9HiTHF4MzL"
"fatsO";2023-09-10;335186;"I'Ll Be Fine";32;"2013-03-17";"2ZbbRkclpYQHNiSfKKeway"
"Snowapple";2023-09-10;380666;"Pescador";30;"2018-06-08";"668lUEi8btiUYBIecpcCeE"
"Franco Battiato";2023-09-10;239064;"Centro Di Gravità Permanente - Remastered 2021";59;"1981";"3vHxkAyC36Bi581ZUysCtZ"
"Los Fabulosos Cadillacs";2023-09-10;257000;"Strawberry Fields Forever - Remasterizado 2008";49;"1995-06-18";"5PeJ5yyyJWcC0wkuMHGSqc"
"Torpedo Boyz";2023-09-10;302986;"Are You Talking to Me??? - Full Vocal Single Edit";37;"2008-02-22";"7LU5yw7iP1SoI8kt25jBgX"
"Ona Mafalda";2023-09-10;188380;"Ya No Quema";28;"2023-05-04";"1y406tP8Vh8xm9tIieOaxe"
"Susana Baca";2023-09-10;278786;"Plena y Bomba (feat. Calle 13)";39;"2011-01-01";"1RVO4oogxRjwV9Id1nKn8q"
